"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"4510","7d7e4dcbf06adbaaaf7d08b88a2aad4f505d3df4","D",1,14,4,1,4
"4511","7d7e4dcbf06adbaaaf7d08b88a2aad4f505d3df4","D",1,14,7,1,5
"4512","f8766111b114b081a2eb2362803f6147f2386cbc","D",2,14,1,1,2
"4513","f8766111b114b081a2eb2362803f6147f2386cbc","D",2,14,7,1,9
"4514","5301617cab8711f965fbc221456bb153b0ac4366","D",2,14,3,1,9
"4515","fe0efacc3bd31910e566964fb8f0cdf913f88566","D",2,14,2,1,3
"4516","fe0efacc3bd31910e566964fb8f0cdf913f88566","D",2,14,7,1,2
"4517","a7f3afbb97fee3d909797fea8e97094e38c1eaef","D",2,14,3,1,9
"4518","911f5ea5664778740efc49812ab7a01070d318b3","D",2,14,7,1,26
"4519","92a3a1e9dd4345ac288abef5cdb08c46285381c3","M",2,14,2,2,5
"4520","873c9b80b2041abae348e48f15d85b969a18ccce","D",2,30,2,1,5
"4521","4e9af115c2d5e3baa61f55ccd4c59f3950b80648","S",2,14,4,23,6
"4522","4e9af115c2d5e3baa61f55ccd4c59f3950b80648","S",2,14,9,23,5
"4523","b2222d0e3e926b564c3876f1a2a0462e7adc9310","M",1,14,4,2,2
"4524","9ad03e80e185469008c9f1a2da7d3ea31c22ba34","D",2,14,2,1,5
"4525","9ad03e80e185469008c9f1a2da7d3ea31c22ba34","D",2,14,3,1,14
"4526","9ad03e80e185469008c9f1a2da7d3ea31c22ba34","D",2,14,4,1,22
"4527","16510438460691f978128667b4c56681927fb9b6","D",2,14,1,1,2
"4528","16510438460691f978128667b4c56681927fb9b6","D",2,14,2,1,7
"4529","16510438460691f978128667b4c56681927fb9b6","D",2,14,5,1,4
"4530","69761ec9ed21281b7cd4ac1498ec2f0f76cbc2ed","S",2,14,5,39,3
"4531","a54762dc9e09925e8c9d68344f352d2a8faa4c0e","D",2,14,4,1,11
"4532","528360632f396163b697c288d53a366529810fdf","D",2,10,4,1,4
"4533","528360632f396163b697c288d53a366529810fdf","D",2,10,5,1,16
"4534","b2cac072cf580cc64edbd1bdd82b46541cd6df20","D",1,14,2,1,7
"4535","02f5a952a8c837e7511de7e2ef6c6e53a3a240d5","D",2,14,5,2,11
"4536","02f5a952a8c837e7511de7e2ef6c6e53a3a240d5","D",2,14,9,2,22
"4537","d80470fa4a2e2c6456e2cc6b862a4282b01f0f95","D",1,14,2,1,1
"4538","f67847fce2c055b246a7eeebc027f1229ce87b94","D",2,14,4,1,2
"4539","18fb6df0c87bb4b302291ca6be29f7c92e53bc55","M",2,14,8,39,5
"4540","41bfe79bceee11226c4b696c3cc09a9797c8a54f","S",2,14,2,34,4
"4541","4d5d81cd63b7684ce805178536b08e7461b8c7fc","D",2,14,1,1,3
"4542","4d5d81cd63b7684ce805178536b08e7461b8c7fc","D",2,14,4,1,4
"4543","4d5d81cd63b7684ce805178536b08e7461b8c7fc","D",2,14,7,1,18
"4544","2f62fa7a17c6e2d86ab63c652767f9bcb1355be5","D",2,14,2,1,3
"4545","894e47f5dc6b8c413faf8a388311009b6a367634","D",2,24,9,1,8
"4546","bfdf7121a4e87bcc0ba60121018f95e51c80d195","D",2,24,2,1,4
