"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","wolne_miejsca_cbop","jedna_zmiana"
"163","15ac0ca1bfe960c49165f65152a5eddc77515817","S",1,14,4,1,TRUE
"164","e0edf795e5caed46ee8332f185167f0ccfc9a2b3","D",2,4,3,1,TRUE
"165","4556ba34c4df00fe831ce6ad23960e889f4d13e3","D",2,4,4,1,FALSE
"166","880e73cf2ffc9a3248700d34bf02050e386f84da","D",1,32,2,1,TRUE
"167","880e73cf2ffc9a3248700d34bf02050e386f84da","D",1,32,3,1,TRUE
"168","880e73cf2ffc9a3248700d34bf02050e386f84da","D",1,32,5,2,FALSE
"169","880e73cf2ffc9a3248700d34bf02050e386f84da","D",1,32,9,1,TRUE
"170","5f6a6087712ad6bedbf2055c451c7039002a5077","D",2,6,2,1,FALSE
"171","db055d518e8e3269c4834f364be791dc8d56bc0e","D",1,32,5,1,FALSE
"172","35e8a683b5277e70d89dcfa6937ebd437bd67acc","D",1,2,2,1,TRUE
"173","35e8a683b5277e70d89dcfa6937ebd437bd67acc","D",1,2,5,3,FALSE
"174","35e8a683b5277e70d89dcfa6937ebd437bd67acc","D",1,2,9,1,FALSE
"175","1174f19849ea0e7a0d47aab70c55c80793605a6c","D",1,2,5,1,FALSE
"176","230b3c224c07e67d4ed9f91b3fb98de887bec837","D",1,14,5,1,FALSE
"177","a3bc575abb0c90877f985f2212219406021a4318","D",1,10,7,1,TRUE
"178","61523d285532e8b855c9ce4faa65a0e3fdc20a48","D",1,20,7,2,TRUE
"179","902a04436773085b546fc17e68f97ab261d38e44","D",1,20,3,4,TRUE
"180","aa1eaf31714772c139cbe5b5bad2b0e813ddc051","D",1,14,4,5,FALSE
"181","063cbe5caf278021ba19be0a32d95f6e20b2be45","D",1,24,9,1,TRUE
"182","0a5c4dbb185d51cad28511d66a03a88e954be771","D",1,24,4,1,FALSE
"183","ab3b3172ca055520265444e1bcfe91b16c369a33","D",1,14,2,1,TRUE
"184","7b7ce3127dab35ae3dab498c18256393d29a48d9","D",1,14,9,1,FALSE
"185","68cb1a44d10c734d9be06bdac70ab8d84c318e99","D",1,26,2,1,TRUE
"186","17cfa80613e77bc20cc92701680a9548bc40ae10","D",1,22,7,1,TRUE
"187","33df73f4e7c487267614442fa3859e20fc3e178b","D",1,24,9,1,TRUE
"188","47e99f78a091b58416f9d5bacd19074e00cec6ee","D",1,16,9,5,FALSE
"189","16818d4666561155cc4600f14ad2380dc7b3f4fd","D",1,4,2,2,TRUE
"190","16818d4666561155cc4600f14ad2380dc7b3f4fd","D",1,4,7,1,TRUE
"191","81117061e59fe92032d3dbc33fc80c798556ae7b","D",1,32,3,2,FALSE
"192","3381d397fee35b68b1c51a55375e5c4028bcc0a0","D",1,22,9,1,TRUE
"193","f8e4f5aebc058577b73ccd41e36e0381f883a6dd","D",1,12,5,2,TRUE
"194","61fb958ad102748fcb416fd69a6930aea9e2ec33","D",1,2,5,1,FALSE
"195","227c7a9670721464b0113a688274c9260b276a0a","D",1,30,3,1,TRUE
"196","267e9caba7d1bf2246d4c4e164cf7dda13cac7d4","D",1,4,9,1,FALSE
"197","6b0bbd2247f9b10af4671d82cf17366e38e696c7","D",1,2,2,16,TRUE
"198","6b0bbd2247f9b10af4671d82cf17366e38e696c7","D",1,2,4,1,TRUE
"199","274b4c9239a994da21ff2ef818d8527374aa9a82","D",1,14,2,1,FALSE
"200","274b4c9239a994da21ff2ef818d8527374aa9a82","D",1,14,2,1,TRUE
"201","274b4c9239a994da21ff2ef818d8527374aa9a82","D",1,14,3,1,FALSE
"202","32f44ae442e26ceeeaa4cf4b102de87717593d63","D",1,22,2,1,FALSE
"203","f9e1108d942b6597c9ee06a1d3d62f75c929e6f3","D",1,30,3,1,FALSE
"204","3f3d9727c5b63ffcf98b29f7ac6ba27821b14c06","D",1,14,3,1,TRUE
"205","3f3d9727c5b63ffcf98b29f7ac6ba27821b14c06","D",1,14,9,1,FALSE
